id,infoUrl,foodnames
greenonion,https://en.wikipedia.org/wiki/Allium_fistulosum,"Green onions, Onion, Welsh onion, Bunching onion, spring onion"
sweetcorn,https://en.wikipedia.org/wiki/Maize,"Corn, Sweet Corn, Maize"
greencabbage,https://en.wikipedia.org/wiki/Kale,"Green cabbage, Cabbage, Leaf cabbage, Kale"
cucumber,https://en.wikipedia.org/wiki/Cucumber,Cucumber
potato,https://en.wikipedia.org/wiki/Potato,Potato
carrot,https://en.wikipedia.org/wiki/Carrot,Carrot
celery,https://en.wikipedia.org/wiki/Celeriac,"Celeriac, Knob celery, Celery root"
kohlrabi,https://en.wikipedia.org/wiki/Kohlrabi,Kohlrabi
leek,https://en.wikipedia.org/wiki/Leek,Leek
chard,https://en.wikipedia.org/wiki/Chard,"Chard, swiss chard"
parsnip,https://en.wikipedia.org/wiki/Parsnip,Parsnip
smallradish,https://en.wikipedia.org/wiki/Radish,"Radish, small radish"
radish,https://en.wikipedia.org/wiki/Raphanus,Raphanus
brusselssprouts,https://en.wikipedia.org/wiki/Brussels_sprout,Brussels sprout
beetroot,https://en.wikipedia.org/wiki/Beetroot,"Beetroot, beets, table beet, red beet"
purplecabbage,https://en.wikipedia.org/wiki/Red_cabbage,"Red cabbage, purple cabbage, Blaukraut, Cabbage"
asparagus,https://en.wikipedia.org/wiki/Asparagus,"Asparagus, Sparrow grass"
pointedcabbage,https://en.wikipedia.org/wiki/Cabbage,"Pointed cabbage, Cabbage"
tomato,https://en.wikipedia.org/wiki/Tomato,Tomato
whitecabbage,https://en.wikipedia.org/wiki/Cabbage,"White cabbage, Cabbage"
savoy,https://en.wikipedia.org/wiki/Savoy_cabbage,"Savoy, Savoy cabbage, Cabbage"
zucchini,https://en.wikipedia.org/wiki/Zucchini,"Zucchini, Courgette, Baby marrow"
sweetpotato,https://en.wikipedia.org/wiki/Sweet_potato,"Sweet potato, Sweetpotato"
pakchoi,https://en.wikipedia.org/wiki/Bok_choy,"Bok Choy, pak choi, Pok choi"
artichoke,https://en.wikipedia.org/wiki/Artichoke,Artichoke
pumpkin,https://en.wikipedia.org/wiki/Pumpkin,Pumpkins
onion,https://en.wikipedia.org/wiki/Onion,"Onion, Bulb onion, Common onion, Cepa, Shallot"
